Date,Unemployment rate %,Labour force (Employed),Labour force (Unemployed),Total Labour Force,Labour force %,Not in labour force,Working-age population %,Labour force participation rate %,Labour cost index (LCI),Average hourly earnings (ordinary time and overtime),Private sector wages,Public sector wages 
31/03/2024,4.3,2939,134,3072,2.3,1224,3.1,71.5,1382,41.03,39.02,48.61
31/12/2023,4,2945,123,3068,3.4,1202,3.3,71.9,1370,40.9,38.88,48.66
30/09/2023,3.9,2932,120,3052,3.6,1188,3,72,1356,40.46,38.69,47.3
30/06/2023,3.6,2933,110,3043,4.7,1158,2.4,72.4,1341,39.6,37.95,46.06
31/03/2023,3.4,2902,103,3005,3.2,1162,1.6,72.1,1327,39.01,37.28,45.74
31/12/2022,3.4,2867,100,2967,1.9,1166,0.8,71.8,1314,38.3,36.55,45.2
30/09/2022,3.3,2850,96,2947,1.2,1167,0.4,71.6,1300,37.93,36.16,44.84
30/06/2022,3.3,2811,96,2908,0.6,1193,0.2,70.9,1286,37.04,35.24,44.19
31/03/2022,3.2,2817,94,2911,0.9,1191,0.2,71,1272,36.24,34.44,43.51
31/12/2021,3.2,2818,93,2911,1.5,1189,0.3,71,1262,35.65,33.77,43.11
30/09/2021,3.3,2818,96,2914,1.9,1186,0.4,71.1,1254,35.3,33.32,42.93
30/06/2021,4,2775,115,2890,1.4,1203,0.5,70.6,1244,34.8,32.91,42.26
31/03/2021,4.6,2748,133,2881,0.6,1209,1,70.4,1235,34.56,32.68,41.86
31/12/2020,4.9,2728,141,2870,1.4,1219,1.7,70.2,1230,34.36,32.45,41.8
30/09/2020,5.2,2712,149,2861,1.5,1223,2.3,70,1225,34.11,32.15,41.38
30/06/2020,4.1,2735,116,2852,1.7,1221,2.5,70,1218,33.47,31.53,40.84
31/03/2020,4.2,2743,121,2864,2.6,1186,2.4,70.7,1215,33.27,31.42,40.48
31/12/2019,4.1,2713,116,2828,2.2,1190,2,70.4,1211,32.99,31.08,40.47
30/09/2019,4.1,2702,116,2818,1.2,1174,1.8,70.6,1202,32.77,31.03,39.6
30/06/2019,4.1,2692,114,2805,0.9,1167,1.8,70.6,1193,32.53,30.81,39.48
31/03/2019,4.2,2674,116,2790,1.2,1164,2,70.6,1185,32.07,30.45,38.8
31/12/2018,4.3,2680,122,2802,0.8,1149,2.1,70.9,1180,31.93,30.29,38.53
30/09/2018,4,2676,111,2787,2,1136,2.2,71,1174,31.71,30.09,38.18
30/06/2018,4.6,2653,128,2781,3.4,1124,2.2,71.2,1168,31.28,29.57,38.3
31/03/2018,4.4,2635,120,2755,2.3,1120,2.1,71.1,1162,31.14,29.52,37.72
31/12/2017,4.5,2622,123,2745,2.8,1112,2.1,71.2,1158,30.94,29.16,38
30/09/2017,4.7,2606,129,2734,3.9,1107,2.2,71.2,1153,30.71,28.96,37.59
30/06/2017,4.9,2558,131,2689,2.8,1130,2.3,70.4,1146,30.41,28.68,37.54
31/03/2017,4.9,2560,132,2692,5.5,1106,2.7,70.9,1141,30.3,28.55,37.21
31/12/2016,5.3,2530,141,2671,6.3,1106,2.8,70.7,1137,30,28.22,36.92
30/09/2016,5,2504,131,2635,5.6,1122,2.8,70.1,1132,30.01,28.28,36.7
30/06/2016,5.1,2480,133,2613,4.2,1118,2.9,70,1127,29.65,27.99,36.34
31/03/2016,5.3,2418,134,2552,2,1148,2.6,69,1123,29.54,27.89,36.05
31/12/2015,5,2387,125,2512,1.1,1163,2.5,68.3,1119,29.44,27.7,36.06
30/09/2015,5.7,2357,141,2498,2.2,1156,2.5,68.4,1114,29.37,27.7,35.6
